=========================================================================================================================
                                   PER-WORD COMPREHENSIVE DIFFERENCE REPORT
  Mean Start Difference: 0.046088s | Mean End Difference: 0.065203s | Threshold: 0.130405s
=========================================================================================================================
FILE NAME          | WORD         | HUMAN START  | HUMAN END   | MACH START  | MACH END   | START DIFF  | END DIFF   | STATUS  
IcTc               | WANT         | 2.3405     s | 2.6617    s | 2.3300    s | 2.7800   s | 0.01055   s | 0.11827  s | SAFE    
IcTc               | BUT          | 2.7916     s | 2.8905    s | 2.7800    s | 2.8900   s | 0.01157   s | 0.00049  s | SAFE    
IcTc               | I            | 2.8905     s | 3.0185    s | 2.8900    s | 2.9200   s | 0.00049   s | 0.09853  s | SAFE    
IcTc               | ASKED        | 3.0185     s | 3.2255    s | 2.9200    s | 3.2900   s | 0.09853   s | 0.06449  s | SAFE    
IcTc               | FOR          | 3.3314     s | 3.5035    s | 3.2900    s | 3.4500   s | 0.04143   s | 0.05351  s | SAFE    
IcTc               | GREY         | 3.5074     s | 3.7233    s | 3.4500    s | 3.7100   s | 0.05739   s | 0.01330  s | SAFE    
IcTc               | THIS         | 3.8358     s | 3.9264    s | 3.7100    s | 3.9200   s | 0.12582   s | 0.00641  s | SAFE    
IcTc               | IS           | 3.9303     s | 4.0065    s | 3.9200    s | 4.0300   s | 0.01029   s | 0.02347  s | SAFE    
IcTc               | PURPLE       | 4.1113     s | 4.4023    s | 4.0300    s | 4.4700   s | 0.08129   s | 0.06772  s | SAFE    
IdYd               | WITCH        | 0.4829     s | 0.9260    s | 0.4700    s | 1.0200   s | 0.01292   s | 0.09403  s | SAFE    
Idvr               | FILE         | 1.0564     s | 1.5575    s | 0.9500    s | 1.5100   s | 0.10640   s | 0.04754  s | SAFE    
IezD               | SEEING       | 0.5093     s | 0.9759    s | 0.3500    s | 1.1100   s | 0.15934   s | 0.13415  s | FLAGGED 
ImFV               | GOING        | 0.3305     s | 0.8537    s | 0.3600    s | 0.9600   s | 0.02952   s | 0.10633  s | SAFE    
InLO               | I            | 0.3369     s | 0.5073    s | 0.3400    s | 0.4800   s | 0.00310   s | 0.02733  s | SAFE    
InLO               | SHALL        | 0.5073     s | 0.7808    s | 0.4800    s | 0.7700   s | 0.02733   s | 0.01082  s | SAFE    
InLO               | BE           | 0.7808     s | 0.9301    s | 0.7700    s | 0.9000   s | 0.01082   s | 0.03011  s | SAFE    
InLO               | CROSS        | 0.9420     s | 1.4203    s | 0.9000    s | 1.4500   s | 0.04200   s | 0.02973  s | SAFE    
Isxi               | SADNESS      | 0.5233     s | 1.2590    s | 0.4500    s | 1.1100   s | 0.07333   s | 0.14904  s | FLAGGED 
J496               | STOPPING     | 0.8248     s | 1.2164    s | 0.8100    s | 1.2500   s | 0.01483   s | 0.03360  s | MISMATCH
J496               | YOU          | 1.2164     s | 1.3900    s | 1.2500    s | 1.4500   s | 0.03360   s | 0.06002  s | MISMATCH
JAVe               | BEEN         | 0.3560     s | 0.8939    s | 0.4000    s | 0.8700   s | 0.04396   s | 0.02385  s | SAFE    
JDsP               | SNACK        | 0.3900     s | 0.8091    s | 0.2500    s | 0.8700   s | 0.13998   s | 0.06089  s | FLAGGED 
JEob               | NEVER        | 0.5821     s | 1.0620    s | 0.5700    s | 1.1500   s | 0.01211   s | 0.08804  s | SAFE    
JGrP               | BREEZE       | 0.4365     s | 1.1117    s | 0.4300    s | 1.2100   s | 0.00647   s | 0.09829  s | SAFE    
JHLY               | FAITH        | 0.5789     s | 1.0677    s | 0.5100    s | 1.0600   s | 0.06891   s | 0.00768  s | SAFE    
JHOG               | SEND         | 0.7111     s | 0.9736    s | 0.7100    s | 0.9700   s | 0.00112   s | 0.00362  s | SAFE    
JHOG               | TEN          | 0.9736     s | 1.2812    s | 0.9700    s | 1.3800   s | 0.00362   s | 0.09881  s | SAFE    
JHOG               | GENTLE       | 1.4320     s | 1.8904    s | 1.4300    s | 1.7600   s | 0.00203   s | 0.13043  s | FLAGGED 
JHOG               | HENS         | 1.8904     s | 2.0922    s | 1.7600    s | 2.3000   s | 0.13043   s | 0.20779  s | FLAGGED 
JIuf               | NOT          | 0.5733     s | 0.7597    s | 0.5600    s | 0.7400   s | 0.01330   s | 0.01973  s | MISMATCH
JIuf               | BAD          | 0.7597     s | 1.0203    s | 0.7400    s | 1.0900   s | 0.01973   s | 0.06968  s | MISMATCH
JIuf               | I            | 1.1887     s | 1.3270    s | 1.1700    s | 1.2000   s | 0.01870   s | 0.12702  s | MISMATCH
JIuf               | THINK        | 1.3270     s | 1.5656    s | 1.2000    s | 1.3800   s | 0.12702   s | 0.18556  s | MISMATCH
JIuf               | LOOK         | 1.5656     s | 1.7039    s | 1.5300    s | 1.7800   s | 0.03556   s | 0.07613  s | MISMATCH
JIuf               | IN           | 1.7339     s | 1.7841    s | 1.7800    s | 1.8700   s | 0.04606   s | 0.08595  s | MISMATCH
JIuf               | THERE        | 1.7841     s | 2.0426    s | 1.8700    s | 1.9900   s | 0.08595   s | 0.05264  s | MISMATCH
JIuf               | TOMORROW     | 2.0426     s | 2.5017    s | 1.9900    s | 2.5200   s | 0.05264   s | 0.01831  s | MISMATCH
JLtt               | EGGS         | 0.4410     s | 0.8524    s | 0.4300    s | 0.9600   s | 0.01105   s | 0.10756  s | SAFE    
JOPL               | CHINA        | 0.3423     s | 0.8194    s | 0.3200    s | 0.9300   s | 0.02232   s | 0.11059  s | SAFE    
JUpS               | RAISIN       | 0.3367     s | 1.0306    s | 0.3200    s | 1.1300   s | 0.01669   s | 0.09942  s | SAFE    
JXIy               | GOAL         | 0.3894     s | 0.9366    s | 0.4700    s | 1.0200   s | 0.08061   s | 0.08337  s | SAFE    
JXhs               | YESTERDAY    | 0.1019     s | 0.8307    s | 0.1500    s | 0.7900   s | 0.04813   s | 0.04071  s | SAFE    
JXhs               | THE          | 0.8893     s | 0.9879    s | 0.7900    s | 0.9500   s | 0.09928   s | 0.03788  s | SAFE    
JXhs               | MAYOR        | 0.9879     s | 1.2769    s | 0.9500    s | 1.2700   s | 0.03788   s | 0.00690  s | SAFE    
JXhs               | PLAYED       | 1.3427     s | 1.6335    s | 1.2700    s | 1.7900   s | 0.07268   s | 0.15648  s | FLAGGED 
JXhs               | BILLIARDS    | 1.8148     s | 2.1973    s | 1.7900    s | 2.1900   s | 0.02480   s | 0.00729  s | SAFE    
JXhs               | IN           | 2.1973     s | 2.2829    s | 2.1900    s | 2.2500   s | 0.00729   s | 0.03295  s | SAFE    
JXhs               | THE          | 2.2829     s | 2.4045    s | 2.2500    s | 2.3400   s | 0.03295   s | 0.06447  s | SAFE    
JXhs               | YARD         | 2.4045     s | 2.6595    s | 2.3400    s | 2.7100   s | 0.06447   s | 0.05055  s | SAFE    
JZGA               | CAN          | 0.2360     s | 0.4631    s | 0.2600    s | 0.4700   s | 0.02396   s | 0.00695  s | SAFE    
JZGA               | YOU          | 0.4631     s | 0.5818    s | 0.4700    s | 0.5700   s | 0.00695   s | 0.01182  s | SAFE    
JZGA               | REACH        | 0.5818     s | 0.8630    s | 0.5700    s | 0.8300   s | 0.01182   s | 0.03296  s | SAFE    
JZGA               | THE          | 0.8630     s | 1.0133    s | 0.8300    s | 0.9300   s | 0.03296   s | 0.08330  s | SAFE    
JZGA               | PIECE        | 1.0133     s | 1.2012    s | 0.9300    s | 1.1700   s | 0.08330   s | 0.03123  s | SAFE    
JZGA               | OF           | 1.2012     s | 1.3892    s | 1.1700    s | 1.3300   s | 0.03123   s | 0.05916  s | SAFE    
JZGA               | CHEESE       | 1.3892     s | 1.6718    s | 1.3300    s | 1.8000   s | 0.05916   s | 0.12820  s | SAFE    
JZGJ               | TAKE         | 0.6665     s | 0.9248    s | 0.7100    s | 0.9700   s | 0.04348   s | 0.04517  s | SAFE    
JZGJ               | TOO          | 0.9886     s | 1.1465    s | 0.9700    s | 1.1200   s | 0.01861   s | 0.02647  s | SAFE    
JZGJ               | MUCH         | 1.1465     s | 1.3761    s | 1.1200    s | 1.3800   s | 0.02647   s | 0.00392  s | SAFE    
JZGJ               | TIME         | 1.4112     s | 1.6711    s | 1.3800    s | 1.7400   s | 0.03116   s | 0.06893  s | SAFE    
JmgP               | AH           | 0.4244     s | 0.6716    s | 0.4200    s | 0.6500   s | 0.00437   s | 0.02162  s | SAFE    
JmgP               | YES          | 0.6901     s | 0.9816    s | 0.7000    s | 0.9500   s | 0.00993   s | 0.03160  s | SAFE    
JmgP               | HERE         | 1.0591     s | 1.2215    s | 0.9500    s | 1.2300   s | 0.10909   s | 0.00854  s | SAFE    
JmgP               | WE           | 1.2215     s | 1.3395    s | 1.2300    s | 1.3900   s | 0.00854   s | 0.05046  s | SAFE    
JmgP               | ARE          | 1.3395     s | 1.4982    s | 1.3900    s | 1.5900   s | 0.05046   s | 0.09178  s | SAFE    
JmgP               | SORRY        | 1.7528     s | 1.9890    s | 1.7500    s | 2.0200   s | 0.00285   s | 0.03098  s | SAFE    
JmgP               | ABOUT        | 1.9853     s | 2.1662    s | 2.0200    s | 2.1900   s | 0.03467   s | 0.02385  s | SAFE    
JmgP               | THE          | 2.1846     s | 2.3174    s | 2.1900    s | 2.2800   s | 0.00540   s | 0.03745  s | SAFE    
JmgP               | DUST         | 2.3765     s | 2.5868    s | 2.2800    s | 2.6200   s | 0.09649   s | 0.03317  s | SAFE    
JmgP               | SIR          | 2.6533     s | 2.7861    s | 2.6200    s | 2.8600   s | 0.03326   s | 0.07389  s | SAFE    
JmgP               | CAN          | 3.1662     s | 3.3138    s | 3.1500    s | 3.2700   s | 0.01620   s | 0.04380  s | SAFE    
JmgP               | I            | 3.3138     s | 3.3765    s | 3.2700    s | 3.3000   s | 0.04380   s | 0.07654  s | SAFE    
JmgP               | LEND         | 3.3765     s | 3.5463    s | 3.3000    s | 3.5300   s | 0.07654   s | 0.01629  s | SAFE    
JmgP               | YOU          | 3.5463     s | 3.6570    s | 3.5300    s | 3.6000   s | 0.01629   s | 0.05699  s | SAFE    
JmgP               | A            | 3.6570     s | 3.7050    s | 3.6000    s | 3.6500   s | 0.05699   s | 0.05497  s | SAFE    
JmgP               | HANDKERCHIEF | 3.7050     s | 4.2364    s | 3.6500    s | 4.4000   s | 0.05497   s | 0.16365  s | FLAGGED 
JnhJ               | TAKE         | 0.3726     s | 0.5338    s | 0.3600    s | 0.5800   s | 0.01257   s | 0.04624  s | SAFE    
JnhJ               | HER          | 0.5575     s | 0.7465    s | 0.5800    s | 0.7300   s | 0.02246   s | 0.01647  s | SAFE    
JnhJ               | HOME         | 0.7465     s | 1.1455    s | 0.7300    s | 1.1200   s | 0.01647   s | 0.02547  s | SAFE    
JrMJ               | TAN          | 0.3741     s | 0.7071    s | 0.3500    s | 0.8200   s | 0.02408   s | 0.11289  s | SAFE    
JuUL               | OUR          | 0.4667     s | 0.7415    s | 0.4500    s | 0.6700   s | 0.01670   s | 0.07150  s | SAFE    
JuUL               | BOY          | 0.7415     s | 1.0601    s | 0.6700    s | 1.0200   s | 0.07150   s | 0.04014  s | SAFE    
JuUL               | CHICKEN      | 1.4498     s | 1.7460    s | 1.4300    s | 1.7600   s | 0.01984   s | 0.01403  s | SAFE    
JuUL               | OUT          | 1.7460     s | 1.9852    s | 1.7600    s | 2.0000   s | 0.01403   s | 0.01476  s | SAFE    
JuUL               | NO           | 2.1297     s | 2.2932    s | 2.0900    s | 2.2900   s | 0.03975   s | 0.00321  s | SAFE    
JuUL               | SIR          | 2.2932     s | 2.6699    s | 2.2900    s | 2.6800   s | 0.00321   s | 0.01011  s | SAFE    
JzUd               | PICTURE      | 0.4164     s | 0.8692    s | 0.3900    s | 0.9600   s | 0.02640   s | 0.09075  s | SAFE    
KAlE               | NIGHT        | 0.5544     s | 1.0245    s | 0.5700    s | 1.1200   s | 0.01565   s | 0.09549  s | SAFE    
KBxl               | LABOUR       | 0.3736     s | 0.8811    s | 0.3600    s | 0.9500   s | 0.01358   s | 0.06891  s | SAFE    
KIVh               | THINK        | 1.2427     s | 1.7132    s | 1.2300    s | 1.6000   s | 0.01270   s | 0.11319  s | SAFE    
KJpE               | TOOTHY       | 0.5163     s | 0.9932    s | 0.5200    s | 1.0700   s | 0.00372   s | 0.07683  s | SAFE    
KKHq               | EDGE         | 0.4363     s | 0.9447    s | 0.4200    s | 0.9900   s | 0.01626   s | 0.04532  s | SAFE    
KQED               | GO           | 0.4590     s | 0.6476    s | 0.4700    s | 0.6200   s | 0.01105   s | 0.02756  s | SAFE    
KQED               | CHANGE       | 0.6476     s | 0.9410    s | 0.6200    s | 0.9300   s | 0.02756   s | 0.01096  s | SAFE    
KQED               | YOUR         | 0.9410     s | 1.0688    s | 0.9300    s | 1.0400   s | 0.01096   s | 0.02879  s | SAFE    
KQED               | SHOES        | 1.0688     s | 1.3517    s | 1.0400    s | 1.3600   s | 0.02879   s | 0.00829  s | SAFE    
KQED               | BEFORE       | 1.3517     s | 1.7499    s | 1.3600    s | 1.7500   s | 0.00829   s | 0.00011  s | SAFE    
KQED               | YOU          | 1.7499     s | 1.9238    s | 1.7500    s | 1.8500   s | 0.00011   s | 0.07383  s | SAFE    
KQED               | TURN         | 1.9238     s | 2.1020    s | 1.8500    s | 2.1000   s | 0.07383   s | 0.00196  s | SAFE    
KQED               | AROUND       | 2.1020     s | 2.4876    s | 2.1000    s | 2.4900   s | 0.00196   s | 0.00244  s | SAFE    
KSFY               | SHE          | 0.2683     s | 0.3999    s | 0.1700    s | 0.3500   s | 0.09834   s | 0.04991  s | SAFE    
KSFY               | WAS          | 0.3999     s | 0.5730    s | 0.3500    s | 0.5900   s | 0.04991   s | 0.01697  s | SAFE    
KSFY               | NOT          | 0.5730     s | 0.7808    s | 0.5900    s | 0.9200   s | 0.01697   s | 0.13923  s | FLAGGED 
KSFY               | ALLOWED      | 0.7808     s | 1.1080    s | 0.9200    s | 1.1200   s | 0.13923   s | 0.01203  s | FLAGGED 
KSFY               | TO           | 1.1270     s | 1.2465    s | 1.1200    s | 1.1900   s | 0.00702   s | 0.05647  s | SAFE    
KSFY               | MAKE         | 1.2465     s | 1.4334    s | 1.1900    s | 1.3900   s | 0.05647   s | 0.04344  s | SAFE    
KSFY               | A            | 1.4334     s | 1.4992    s | 1.3900    s | 1.4400   s | 0.04344   s | 0.05923  s | SAFE    
KSFY               | LOUD         | 1.4992     s | 1.7208    s | 1.4400    s | 1.7300   s | 0.05923   s | 0.00918  s | SAFE    
KSFY               | SOUND        | 1.7208     s | 2.0826    s | 1.7300    s | 2.2300   s | 0.00918   s | 0.14736  s | FLAGGED 
KUiS               | HOLD         | 0.3759     s | 0.5563    s | 0.3300    s | 0.5400   s | 0.04585   s | 0.01626  s | SAFE    
KUiS               | THIS         | 0.5563     s | 0.7982    s | 0.5400    s | 0.7100   s | 0.01626   s | 0.08818  s | SAFE    
KUiS               | FOR          | 0.7982     s | 0.9376    s | 0.7100    s | 0.9100   s | 0.08818   s | 0.02758  s | SAFE    
KUiS               | ME           | 0.9376     s | 1.1030    s | 0.9100    s | 1.0500   s | 0.02758   s | 0.05296  s | SAFE    
KUiS               | WOULD        | 1.1030     s | 1.2615    s | 1.0500    s | 1.2600   s | 0.05296   s | 0.00150  s | SAFE    
KUiS               | YOU          | 1.2615     s | 1.4378    s | 1.2600    s | 1.5300   s | 0.00150   s | 0.09219  s | SAFE    
KWnr               | CAN          | 0.3388     s | 0.5031    s | 0.3200    s | 0.5200   s | 0.01877   s | 0.01686  s | SAFE    
KWnr               | YOU          | 0.5031     s | 0.7036    s | 0.5200    s | 0.6200   s | 0.01686   s | 0.08360  s | SAFE    
KWnr               | PUSH         | 0.7036     s | 0.9622    s | 0.6200    s | 0.9900   s | 0.08360   s | 0.02781  s | SAFE    
KWnr               | THE          | 0.9862     s | 1.1747    s | 0.9900    s | 1.0900   s | 0.00376   s | 0.08467  s | SAFE    
KWnr               | FISH         | 1.2288     s | 1.4152    s | 1.0900    s | 1.4400   s | 0.13879   s | 0.02478  s | FLAGGED 
KWnr               | INTO         | 1.4513     s | 1.6277    s | 1.4400    s | 1.6700   s | 0.01130   s | 0.04230  s | SAFE    
KWnr               | THE          | 1.6277     s | 1.7259    s | 1.6700    s | 1.7500   s | 0.04230   s | 0.02408  s | SAFE    
KWnr               | OCEAN        | 1.7259     s | 2.3092    s | 1.7500    s | 2.2800   s | 0.02408   s | 0.02925  s | SAFE    
KZCt               | OFFER        | 0.9604     s | 1.4744    s | 0.9400    s | 1.5100   s | 0.02036   s | 0.03556  s | SAFE    
Kbfj               | THANK        | 0.3196     s | 0.5700    s | 0.2500    s | 0.5800   s | 0.06959   s | 0.00998  s | SAFE    
Kbfj               | YOU          | 0.5700     s | 0.8089    s | 0.5800    s | 0.9100   s | 0.00998   s | 0.10107  s | SAFE    
KfCU               | BOWER        | 0.3423     s | 0.8225    s | 0.3500    s | 0.9400   s | 0.00768   s | 0.11749  s | SAFE    
KiiU               | TONGUE       | 0.4450     s | 0.8640    s | 0.4300    s | 0.9800   s | 0.01501   s | 0.11604  s | SAFE    
KkeD               | DUTY         | 0.5129     s | 0.9976    s | 0.5200    s | 1.0800   s | 0.00706   s | 0.08242  s | SAFE    
KldM               | LOW          | 0.3803     s | 0.7528    s | 0.3700    s | 0.7900   s | 0.01027   s | 0.03720  s | SAFE    
Kmkt               | TOWER        | 0.4609     s | 0.8742    s | 0.3800    s | 1.0200   s | 0.08087   s | 0.14583  s | FLAGGED 
KnJN               | TRAIN        | 0.2897     s | 0.9786    s | 0.4300    s | 1.0200   s | 0.14025   s | 0.04141  s | FLAGGED 
Kves               | SUFFER       | 1.0892     s | 1.5883    s | 1.0600    s | 1.7000   s | 0.02919   s | 0.11169  s | SAFE    
KxGt               | SEND         | 0.2405     s | 0.5713    s | 0.1800    s | 0.5700   s | 0.06054   s | 0.00129  s | SAFE    
KxGt               | THEM         | 0.5713     s | 0.8173    s | 0.5700    s | 0.7600   s | 0.00129   s | 0.05730  s | SAFE    
KxGt               | LIGHTER      | 0.8173     s | 1.2998    s | 0.7600    s | 1.2100   s | 0.05730   s | 0.08976  s | SAFE    
LKHN               | GONE         | 0.2526     s | 0.7013    s | 0.4100    s | 0.7100   s | 0.15743   s | 0.00872  s | FLAGGED 
LKHN               | PAST         | 0.7367     s | 1.1270    s | 0.7100    s | 1.1600   s | 0.02667   s | 0.03298  s | SAFE    
LPxH               | LAZY         | 0.3157     s | 1.0320    s | 0.3000    s | 1.1300   s | 0.01573   s | 0.09801  s | SAFE    
LQBQ               | PERSIA       | 0.4891     s | 0.9097    s | 0.4700    s | 1.0100   s | 0.01907   s | 0.10025  s | SAFE    
LQhF               | HIS          | 0.5376     s | 0.7982    s | 0.4700    s | 0.7000   s | 0.06759   s | 0.09818  s | SAFE    
LQhF               | FATHER       | 0.7982     s | 1.0424    s | 0.7000    s | 1.0200   s | 0.09818   s | 0.02237  s | SAFE    
LQhF               | WAS          | 1.0424     s | 1.2374    s | 1.0200    s | 1.2500   s | 0.02237   s | 0.01264  s | SAFE    
LQhF               | A            | 1.2374     s | 1.3175    s | 1.2500    s | 1.2800   s | 0.01264   s | 0.03754  s | SAFE    
LQhF               | SERGEANT     | 1.3394     s | 1.7585    s | 1.2800    s | 1.7300   s | 0.05941   s | 0.02854  s | SAFE    
LQhF               | IN           | 1.7585     s | 1.8387    s | 1.7300    s | 1.8200   s | 0.02854   s | 0.01872  s | SAFE    
LQhF               | THE          | 1.8387     s | 1.9590    s | 1.8200    s | 1.9200   s | 0.01872   s | 0.03900  s | SAFE    
LQhF               | ARMY         | 1.9590     s | 2.2633    s | 1.9200    s | 2.2800   s | 0.03900   s | 0.01667  s | SAFE    
LRxJ               | HE           | 0.4964     s | 0.5970    s | 0.4100    s | 0.5900   s | 0.08640   s | 0.00699  s | SAFE    
LRxJ               | KNOCKS       | 0.5970     s | 0.9425    s | 0.5900    s | 0.9600   s | 0.00699   s | 0.01750  s | SAFE    
LRxJ               | ON           | 0.9512     s | 1.0453    s | 0.9600    s | 1.0200   s | 0.00875   s | 0.02528  s | SAFE    
LRxJ               | THE          | 1.0453     s | 1.1874    s | 1.0200    s | 1.1100   s | 0.02528   s | 0.07742  s | SAFE    
LRxJ               | LOCKED       | 1.1874     s | 1.5111    s | 1.1100    s | 1.6400   s | 0.07742   s | 0.12894  s | SAFE    
LRxJ               | BACK         | 1.6029     s | 1.8697    s | 1.6400    s | 1.8800   s | 0.03710   s | 0.01031  s | SAFE    
LRxJ               | DOOR         | 1.8937     s | 2.1059    s | 1.8800    s | 2.1300   s | 0.01375   s | 0.02414  s | SAFE    
LRxJ               | EVERYDAY     | 2.1693     s | 2.5629    s | 2.1600    s | 2.6900   s | 0.00928   s | 0.12710  s | SAFE    
LWOP               | ONE          | 0.2670     s | 0.6123    s | 0.2400    s | 0.5900   s | 0.02697   s | 0.02230  s | SAFE    
LWOP               | CUP          | 0.6661     s | 0.8665    s | 0.5900    s | 0.9700   s | 0.07606   s | 0.10348  s | SAFE    
LZAk               | LET          | 0.6692     s | 0.9387    s | 0.6600    s | 0.9700   s | 0.00916   s | 0.03132  s | SAFE    
LZAk               | HIM          | 0.9573     s | 1.2097    s | 0.9700    s | 1.1800   s | 0.01273   s | 0.02975  s | SAFE    
LZAk               | TAKE         | 1.2097     s | 1.3941    s | 1.1800    s | 1.4200   s | 0.02975   s | 0.02592  s | SAFE    
LZAk               | IT           | 1.3941     s | 1.5954    s | 1.4200    s | 1.7100   s | 0.02592   s | 0.11456  s | SAFE    
LZNI               | ABOUT        | 0.1170     s | 0.3597    s | 0.1000    s | 0.3200   s | 0.01699   s | 0.03973  s | SAFE    
LZNI               | DAWN         | 0.3750     s | 0.5718    s | 0.3200    s | 0.5500   s | 0.05503   s | 0.02185  s | SAFE    
LZNI               | HE           | 0.5904     s | 0.7577    s | 0.5500    s | 0.6700   s | 0.04043   s | 0.08772  s | SAFE    
LZNI               | GOT          | 0.7676     s | 0.9338    s | 0.7400    s | 0.9700   s | 0.02756   s | 0.03624  s | SAFE    
LZNI               | UP           | 0.9436     s | 1.1000    s | 0.9700    s | 1.0800   s | 0.02640   s | 0.01995  s | SAFE    
LZNI               | TO           | 1.1754     s | 1.2355    s | 1.0800    s | 1.2300   s | 0.09540   s | 0.00554  s | SAFE    
LZNI               | BLOW         | 1.2355     s | 1.4356    s | 1.2300    s | 1.3900   s | 0.00554   s | 0.04563  s | SAFE    
LaYP               | MATHEW       | 0.2203     s | 0.7368    s | 0.2100    s | 0.6500   s | 0.01032   s | 0.08676  s | SAFE    
LaYP               | FOUND        | 0.7368     s | 0.9452    s | 0.6500    s | 0.9700   s | 0.08676   s | 0.02476  s | SAFE    
LaYP               | HIS          | 0.9452     s | 1.1798    s | 0.9700    s | 1.1200   s | 0.02476   s | 0.05977  s | SAFE    
LaYP               | BIRTHDAY     | 1.1798     s | 1.6062    s | 1.1200    s | 1.5500   s | 0.05977   s | 0.05620  s | SAFE    
LaYP               | PRESENT      | 1.6275     s | 2.0350    s | 1.5500    s | 2.1500   s | 0.07752   s | 0.11501  s | SAFE    
LaYP               | BENEATH      | 2.0539     s | 2.4401    s | 2.1500    s | 2.4200   s | 0.09606   s | 0.02009  s | SAFE    
LaYP               | THE          | 2.4401     s | 2.5455    s | 2.4200    s | 2.4900   s | 0.02009   s | 0.05551  s | SAFE    
LaYP               | TABLE        | 2.5455     s | 3.0323    s | 2.4900    s | 2.9700   s | 0.05551   s | 0.06235  s | SAFE    
LalI               | SPLENDID     | 0.5006     s | 1.0763    s | 0.4300    s | 1.0800   s | 0.07063   s | 0.00370  s | SAFE    
LaxI               | TARGET       | 0.5634     s | 1.1169    s | 0.5000    s | 1.1700   s | 0.06336   s | 0.05311  s | SAFE    
LeMR               | PERFECT      | 0.3644     s | 0.9448    s | 0.3500    s | 0.8400   s | 0.01437   s | 0.10483  s | SAFE    
LeMR               | HE           | 1.0267     s | 1.1948    s | 0.8400    s | 1.1200   s | 0.18674   s | 0.07481  s | FLAGGED 
LeMR               | THOUGHT      | 1.1948     s | 1.5225    s | 1.1200    s | 1.8300   s | 0.07481   s | 0.30754  s | FLAGGED 
LoBj               | HAVE         | 0.5084     s | 1.0264    s | 0.5300    s | 1.1200   s | 0.02157   s | 0.09358  s | SAFE    
LrVH               | ABSOLUTION   | 0.3728     s | 1.0855    s | 0.3600    s | 1.0300   s | 0.01285   s | 0.05547  s | SAFE    
LrVH               | FOR          | 1.1170     s | 1.2674    s | 1.0300    s | 1.2300   s | 0.08704   s | 0.03738  s | SAFE    
LrVH               | HIS          | 1.2674     s | 1.4222    s | 1.2300    s | 1.4200   s | 0.03738   s | 0.00223  s | SAFE    
LrVH               | LIE          | 1.4222     s | 1.7364    s | 1.4200    s | 1.7700   s | 0.00223   s | 0.03355  s | SAFE    
LsKc               | PACK         | 0.5626     s | 1.0329    s | 0.5400    s | 0.8700   s | 0.02264   s | 0.16289  s | FLAGGED 
LvUW               | DWINDLE      | 0.2569     s | 0.8419    s | 0.2400    s | 0.7600   s | 0.01695   s | 0.08191  s | SAFE    
M9SW               | I            | 0.5961     s | 0.6777    s | 0.2800    s | 0.3600   s | 0.31615   s | 0.31766  s | MISMATCH
MDUQ               | THOSE        | 0.2569     s | 0.6287    s | 0.2500    s | 0.5700   s | 0.00695   s | 0.05870  s | SAFE    
MDUQ               | CUSHIONS     | 0.6287     s | 1.1481    s | 0.5700    s | 1.1500   s | 0.05870   s | 0.00194  s | SAFE    
MDUQ               | ARE          | 1.2027     s | 1.3467    s | 1.2000    s | 1.3900   s | 0.00273   s | 0.04330  s | SAFE    
MDUQ               | IN           | 1.3467     s | 1.5672    s | 1.3900    s | 1.5200   s | 0.04330   s | 0.04720  s | SAFE    
MDUQ               | FASHION      | 1.6109     s | 2.0246    s | 1.5200    s | 2.1000   s | 0.09093   s | 0.07540  s | SAFE    
MGXu               | HALL         | 0.6475     s | 1.1829    s | 0.6600    s | 1.1800   s | 0.01247   s | 0.00293  s | SAFE    
MHgy               | HE           | 0.4165     s | 0.5230    s | 0.3400    s | 0.5000   s | 0.07654   s | 0.02301  s | MISMATCH
MHgy               | HAD          | 0.5230     s | 0.7808    s | 0.5000    s | 0.6700   s | 0.02301   s | 0.11077  s | MISMATCH
MHgy               | GORGEOUS     | 0.7808     s | 1.1768    s | 0.7300    s | 1.2200   s | 0.05077   s | 0.04323  s | MISMATCH
MHgy               | GARDEN       | 1.2141     s | 1.6120    s | 1.2200    s | 1.5900   s | 0.00588   s | 0.02198  s | MISMATCH
MHgy               | BEHIND       | 1.6120     s | 1.8641    s | 1.5900    s | 1.8900   s | 0.02198   s | 0.02585  s | MISMATCH
MHgy               | THE          | 1.8641     s | 1.9874    s | 1.8900    s | 1.9400   s | 0.02585   s | 0.04743  s | MISMATCH
MHgy               | GATE         | 1.9874     s | 2.2246    s | 1.9400    s | 2.2500   s | 0.04743   s | 0.02535  s | MISMATCH
MJFA               | WIN          | 0.4059     s | 0.8200    s | 0.4600    s | 0.9900   s | 0.05408   s | 0.16995  s | FLAGGED 
MNuz               | HOW          | 0.1389     s | 0.2329    s | 0.1200    s | 0.2200   s | 0.01886   s | 0.01289  s | SAFE    
MNuz               | MANY         | 0.2329     s | 0.4188    s | 0.2200    s | 0.4100   s | 0.01289   s | 0.00876  s | SAFE    
MNuz               | SOUNDS       | 0.4188     s | 0.7205    s | 0.4100    s | 0.7200   s | 0.00876   s | 0.00054  s | SAFE    
MNuz               | CAN          | 0.7413     s | 0.8463    s | 0.7200    s | 0.8400   s | 0.02131   s | 0.00628  s | SAFE    
MNuz               | THE          | 0.8463     s | 0.9753    s | 0.8400    s | 0.9100   s | 0.00628   s | 0.06529  s | SAFE    
MNuz               | MACHINE      | 0.9753     s | 1.2246    s | 0.9100    s | 1.2900   s | 0.06529   s | 0.06542  s | SAFE    
